user_id,timestamp,device_type,location,age_group,gender,ad_id,content_type,ad_topic,ad_target_audience,click_through_rate,conversion_rate,engagement_level,view_time,cost_per_click,ROI,month,hour,channel
577,2025-04-29 00:48:00 UTC,Tablet,Canada,55+,Male,A5678,Text,Fashion,Tech Enthusiasts,0.090192652,0.0408,Ignored,43,0.9,0.41,2025-04,0,Paid Search
587,2025-02-09 00:14:00 UTC,Desktop,USA,25-34,Female,A5251,Text,Travel,Family Oriented,0.089120869,0.0748,Shared,43,0.48,1.39,2025-02,0,Paid Search
206,2025-10-14 00:28:00 UTC,Desktop,India,55+,Female,A5988,Text,Fashion,Fitness Lovers,0.070303282,0.0363,Shared,19,1.3,0.2,2025-10,0,Paid Search
284,2025-12-27 00:33:00 UTC,Mobile,UK,18-24,Female,A3564,Text,Automotive,Fitness Lovers,0.06040710964,0.1097,Commented,49,0.9,0.74,2025-12,0,Paid Search
129,2025-09-07 00:08:00 UTC,Tablet,Germany,55+,Male,A6865,Text,Electronics,Young Adults,0.087631256,0.1029,Liked,23,0.28,3.22,2025-09,0,Paid Search
194,2025-11-25 00:41:00 UTC,Mobile,USA,45-54,Male,A2286,Text,Travel,Young Adults,0.067014156,0.0612,Ignored,43,0.81,0.51,2025-11,0,Paid Search
278,2025-08-26 00:42:00 UTC,Desktop,USA,45-54,Female,A2761,Text,Electronics,Travel Lovers,0.057022815,0.0784,Liked,29,0.23,1.94,2025-08,0,Paid Search
422,2025-07-17 00:34:00 UTC,Mobile,UK,25-34,Male,A9093,Text,Automotive,Tech Enthusiasts,0.093574623,0.0732,Commented,39,1.45,0.47,2025-07,0,Paid Search
754,2025-06-30 00:43:00 UTC,Desktop,Germany,18-24,Male,A5005,Video,Travel,Tech Enthusiasts,0.01836616684,0.0183,Ignored,22,0.84,0.04,2025-06,0,Paid Social
192,2025-12-28 00:52:00 UTC,Desktop,UK,55+,Male,A7375,Video,Fashion,Young Adults,0.1105469824,0.1428,Liked,14,1.08,1.46,2025-12,0,Paid Social
117,2025-09-05 00:23:00 UTC,Tablet,India,18-24,Male,A1039,Video,Automotive,Young Adults,0.1256769619,0.0782,Liked,34,0.35,2.81,2025-09,0,Paid Social
734,2025-01-31 00:15:00 UTC,Mobile,USA,25-34,Male,A4177,Video,Electronics,Family Oriented,0.01549129225,0.1431,Liked,60,1.41,0.16,2025-01,0,Paid Social
911,2025-04-11 00:08:00 UTC,Tablet,India,45-54,Male,A5948,Video,Automotive,Young Adults,0.01249388224,0.1245,Commented,49,1.33,0.12,2025-04,0,Paid Social
916,2025-07-19 00:24:00 UTC,Desktop,UK,18-24,Male,A6107,Video,Fashion,Fitness Lovers,0.01131460145,0.0421,Commented,15,0.61,0.08,2025-07,0,Paid Social
943,2025-03-29 00:03:00 UTC,Desktop,UK,25-34,Male,A5480,Video,Health,Travel Lovers,0.081251038,0.0262,Ignored,15,0.38,0.56,2025-03,0,Paid Social
585,2025-05-07 00:21:00 UTC,Mobile,Germany,45-54,Male,A1265,Video,Electronics,Fitness Lovers,0.042616637,0.1057,Commented,60,1.41,0.32,2025-05,0,Paid Social
848,2025-03-25 01:42:00 UTC,Desktop,India,18-24,Female,A9802,Image,Electronics,Young Adults,0.1028804928,0.1263,Shared,32,0.37,3.51,2025-03,1,Programmatic Display
376,2025-09-15 01:29:00 UTC,Tablet,UK,18-24,Male,A9236,Image,Travel,Fitness Lovers,0.02543798042,0.0837,Shared,24,1.13,0.19,2025-09,1,Programmatic Display
316,2025-04-28 01:01:00 UTC,Desktop,UK,25-34,Male,A1498,Image,Fashion,Young Adults,0.098758745,0.0901,Liked,39,1.45,0.61,2025-04,1,Programmatic Display
231,2025-02-21 01:50:00 UTC,Mobile,Canada,45-54,Female,A2371,Image,Travel,Tech Enthusiasts,0.03895302665,0.1314,Liked,40,0.26,1.97,2025-02,1,Programmatic Display
317,2025-12-21 01:40:00 UTC,Tablet,Canada,35-44,Female,A2639,Image,Travel,Young Adults,0.063427799,0.0113,Ignored,27,1.33,0.05,2025-12,1,Programmatic Display
499,2025-10-09 01:22:00 UTC,Desktop,Germany,25-34,Male,A8454,Image,Automotive,Young Adults,0.088815115,0.0982,Commented,52,0.25,3.49,2025-10,1,Programmatic Display
220,2025-07-23 01:48:00 UTC,Mobile,USA,45-54,Male,A5564,Image,Fashion,Travel Lovers,0.068162441,0.1447,Liked,47,0.88,1.12,2025-07,1,Programmatic Display
999,2025-09-20 01:15:00 UTC,Tablet,UK,55+,Female,A6288,Image,Health,Tech Enthusiasts,0.01171471967,0.0597,Shared,26,1.29,0.05,2025-09,1,Programmatic Display
596,2025-11-03 01:55:00 UTC,Tablet,UK,25-34,Female,A6970,Image,Health,Young Adults,0.1112995043,0.0892,Commented,53,0.86,1.15,2025-11,1,Programmatic Display
590,2025-11-29 01:47:00 UTC,Desktop,Germany,45-54,Female,A4259,Image,Health,Travel Lovers,0.1375391996,0.1013,Liked,20,1.15,1.21,2025-11,1,Programmatic Display
878,2025-10-31 01:52:00 UTC,Tablet,India,45-54,Female,A8524,Image,Travel,Fitness Lovers,0.02916630783,0.0918,Liked,48,0.91,0.29,2025-10,1,Programmatic Display
958,2025-04-22 01:21:00 UTC,Mobile,Canada,25-34,Female,A4588,Text,Fashion,Tech Enthusiasts,0.02813612825,0.1257,Commented,13,1.29,0.27,2025-04,1,Paid Search
200,2025-04-06 01:05:00 UTC,Tablet,Germany,35-44,Female,A2744,Text,Fashion,Travel Lovers,0.099430897,0.0894,Commented,39,0.88,1.01,2025-04,1,Paid Search
482,2025-05-25 01:11:00 UTC,Mobile,Germany,35-44,Female,A1150,Text,Travel,Young Adults,0.1177171606,0.0241,Ignored,55,0.19,1.49,2025-05,1,Paid Search
748,2025-11-11 01:45:00 UTC,Mobile,USA,45-54,Male,A7970,Text,Travel,Young Adults,0.055791494,0.0874,Commented,52,0.37,1.32,2025-11,1,Paid Search
995,2025-02-20 01:55:00 UTC,Tablet,USA,18-24,Female,A9576,Text,Electronics,Travel Lovers,0.1077597399,0.068,Shared,58,0.62,1.18,2025-02,1,Paid Search
634,2025-06-10 01:49:00 UTC,Tablet,India,18-24,Male,A1642,Text,Electronics,Fitness Lovers,0.010533151,0.067,Liked,52,0.43,0.16,2025-06,1,Paid Search
966,2025-11-24 01:53:00 UTC,Tablet,USA,18-24,Female,A9802,Text,Health,Tech Enthusiasts,0.050891375,0.0918,Ignored,39,0.75,0.62,2025-11,1,Paid Search
552,2025-12-26 01:38:00 UTC,Desktop,Germany,45-54,Male,A8996,Text,Fashion,Tech Enthusiasts,0.070036117,0.0185,Ignored,47,0.26,0.5,2025-12,1,Paid Search
765,2025-05-08 01:28:00 UTC,Desktop,Germany,55+,Female,A2442,Text,Travel,Family Oriented,0.079520825,0.0329,Shared,37,1.05,0.25,2025-05,1,Paid Search
720,2025-07-05 01:57:00 UTC,Desktop,Germany,55+,Male,A9042,Text,Health,Travel Lovers,0.02937998136,0.0585,Ignored,35,0.17,1.01,2025-07,1,Paid Search
190,2025-03-28 01:53:00 UTC,Tablet,Canada,55+,Male,A2059,Text,Fashion,Young Adults,0.031774463,0.0593,Ignored,18,1.31,0.14,2025-03,1,Paid Search
376,2025-06-17 01:36:00 UTC,Desktop,UK,25-34,Female,A1941,Text,Fashion,Fitness Lovers,0.012645213,0.1138,Shared,58,0.99,0.15,2025-06,1,Paid Search
165,2025-09-05 01:49:00 UTC,Tablet,Germany,25-34,Male,A7279,Text,Health,Tech Enthusiasts,0.145923729,0.1174,Liked,16,1,1.71,2025-09,1,Paid Search
507,2025-03-03 01:20:00 UTC,Desktop,Canada,35-44,Female,A6049,Text,Fashion,Tech Enthusiasts,0.048686606,0.0997,Shared,28,0.52,0.93,2025-03,1,Paid Search
725,2025-11-30 01:57:00 UTC,Desktop,India,35-44,Female,A1565,Video,Automotive,Travel Lovers,0.1438912039,0.0755,Shared,18,1.3,0.84,2025-11,1,Paid Social
563,2025-11-12 01:33:00 UTC,Desktop,Germany,18-24,Female,A9589,Video,Electronics,Family Oriented,0.019951548,0.0817,Shared,13,0.53,0.31,2025-11,1,Paid Social
806,2025-06-20 01:38:00 UTC,Tablet,Germany,25-34,Female,A8355,Video,Fashion,Fitness Lovers,0.015239909,0.0118,Shared,11,0.22,0.08,2025-06,1,Paid Social
902,2025-05-14 01:29:00 UTC,Desktop,UK,25-34,Male,A5585,Video,Automotive,Family Oriented,0.1212764276,0.1331,Ignored,57,0.92,1.75,2025-05,1,Paid Social
316,2025-07-23 01:58:00 UTC,Desktop,Canada,35-44,Male,A5585,Video,Fashion,Travel Lovers,0.1233300872,0.0909,Ignored,28,0.64,1.75,2025-07,1,Paid Social
532,2025-11-17 01:07:00 UTC,Mobile,India,25-34,Male,A4682,Video,Electronics,Family Oriented,0.071800029,0.024,Shared,39,0.73,0.24,2025-11,1,Paid Social
492,2025-07-03 01:07:00 UTC,Tablet,UK,25-34,Male,A9739,Video,Automotive,Family Oriented,0.02290187065,0.0693,Liked,10,1.08,0.15,2025-07,1,Paid Social
446,2025-05-12 01:34:00 UTC,Desktop,India,35-44,Male,A5868,Video,Electronics,Tech Enthusiasts,0.025339221,0.0198,Ignored,43,1.1,0.05,2025-05,1,Paid Social
333,2025-06-19 01:57:00 UTC,Desktop,Canada,18-24,Male,A7088,Video,Health,Young Adults,0.043619052,0.0134,Ignored,27,0.93,0.06,2025-06,1,Paid Social
437,2025-04-14 01:30:00 UTC,Mobile,UK,35-44,Female,A7579,Video,Fashion,Tech Enthusiasts,0.061269891,0.0501,Shared,19,0.15,2.05,2025-04,1,Paid Social
954,2025-09-29 01:09:00 UTC,Desktop,Germany,25-34,Male,A3107,Video,Travel,Fitness Lovers,0.09565281,0.0805,Commented,35,0.11,7,2025-09,1,Paid Social
616,2025-11-16 01:40:00 UTC,Desktop,India,18-24,Female,A7314,Video,Fashion,Family Oriented,0.042504358,0.0891,Liked,43,1.12,0.34,2025-11,1,Paid Social
828,2025-08-16 01:47:00 UTC,Desktop,USA,18-24,Female,A1234,Video,Fashion,Tech Enthusiasts,0.02252710188,0.0409,Commented,53,0.18,0.51,2025-08,1,Paid Social
361,2025-02-05 01:48:00 UTC,Tablet,Canada,25-34,Male,A3665,Video,Travel,Fitness Lovers,0.077055999,0.1166,Shared,38,0.73,1.23,2025-02,1,Paid Social
299,2025-02-12 01:24:00 UTC,Mobile,India,18-24,Male,A9027,Video,Health,Young Adults,0.1441770889,0.1494,Ignored,54,1.43,1.51,2025-02,1,Paid Social
651,2025-01-12 01:51:00 UTC,Tablet,India,35-44,Male,A6419,Video,Fashion,Travel Lovers,0.1234961638,0.0194,Ignored,27,1.19,0.2,2025-01,1,Paid Social
613,2025-06-07 01:05:00 UTC,Desktop,Germany,55+,Female,A9125,Video,Automotive,Travel Lovers,0.01070431893,0.0883,Shared,28,0.45,0.21,2025-06,1,Paid Social
551,2025-11-29 01:41:00 UTC,Mobile,India,35-44,Male,A3453,Video,Fashion,Young Adults,0.1432259303,0.1426,Commented,41,0.35,5.84,2025-11,1,Paid Social
985,2025-06-29 02:49:00 UTC,Desktop,India,25-34,Female,A3304,Image,Automotive,Travel Lovers,0.03865700823,0.0508,Ignored,47,0.35,0.56,2025-06,2,Programmatic Display
438,2025-08-08 02:04:00 UTC,Mobile,UK,55+,Female,A9544,Image,Health,Travel Lovers,0.056059019,0.13,Commented,53,0.7,1.04,2025-08,2,Programmatic Display
840,2025-02-11 02:16:00 UTC,Tablet,UK,55+,Female,A4432,Image,Automotive,Young Adults,0.066415119,0.0782,Shared,12,0.23,2.26,2025-02,2,Programmatic Display
586,2025-06-22 02:46:00 UTC,Mobile,Canada,18-24,Male,A7176,Image,Fashion,Young Adults,0.1430055915,0.0884,Shared,54,0.42,3.01,2025-06,2,Programmatic Display
728,2025-09-25 02:53:00 UTC,Mobile,Germany,45-54,Female,A3421,Image,Health,Tech Enthusiasts,0.02873092772,0.0683,Commented,14,0.34,0.58,2025-09,2,Programmatic Display
162,2025-03-01 02:08:00 UTC,Desktop,USA,55+,Female,A1931,Image,Health,Travel Lovers,0.065621156,0.1138,Liked,56,1.49,0.5,2025-03,2,Programmatic Display
359,2025-05-09 02:26:00 UTC,Mobile,India,18-24,Male,A8563,Image,Electronics,Travel Lovers,0.092296753,0.0884,Ignored,58,0.64,1.27,2025-05,2,Programmatic Display
966,2025-07-09 02:39:00 UTC,Tablet,USA,55+,Male,A9674,Image,Automotive,Family Oriented,0.095089241,0.0352,Shared,37,0.64,0.52,2025-07,2,Programmatic Display
580,2025-04-07 02:31:00 UTC,Tablet,Germany,45-54,Male,A5478,Image,Electronics,Family Oriented,0.011831219,0.0167,Commented,45,0.46,0.04,2025-04,2,Programmatic Display
297,2025-04-18 02:00:00 UTC,Desktop,Canada,45-54,Female,A2952,Image,Electronics,Young Adults,0.01558346633,0.1007,Commented,35,0.86,0.18,2025-04,2,Programmatic Display
483,2025-10-07 02:27:00 UTC,Mobile,USA,25-34,Female,A4879,Image,Fashion,Family Oriented,0.1187400848,0.0271,Liked,40,0.56,0.57,2025-10,2,Programmatic Display
106,2025-11-30 02:52:00 UTC,Tablet,UK,45-54,Female,A7581,Image,Automotive,Fitness Lovers,0.035592724,0.1183,Shared,41,1.08,0.39,2025-11,2,Programmatic Display
615,2025-02-18 02:35:00 UTC,Desktop,Canada,25-34,Female,A1336,Text,Fashion,Tech Enthusiasts,0.092906702,0.1089,Ignored,54,1.28,0.79,2025-02,2,Paid Search
285,2025-04-22 02:25:00 UTC,Desktop,USA,25-34,Female,A2721,Text,Electronics,Young Adults,0.1123192472,0.0108,Liked,28,0.97,0.13,2025-04,2,Paid Search
751,2025-09-12 02:20:00 UTC,Desktop,USA,45-54,Male,A7914,Text,Travel,Family Oriented,0.1057257794,0.0642,Liked,13,0.95,0.71,2025-09,2,Paid Search
679,2025-12-28 02:48:00 UTC,Tablet,Canada,45-54,Male,A8591,Text,Travel,Travel Lovers,0.1139408427,0.039,Ignored,34,1.17,0.38,2025-12,2,Paid Search
142,2025-10-08 02:43:00 UTC,Mobile,Canada,45-54,Male,A5458,Text,Health,Family Oriented,0.1157446696,0.0575,Liked,25,1.02,0.65,2025-10,2,Paid Search
870,2025-08-05 02:11:00 UTC,Desktop,Germany,55+,Male,A5348,Text,Health,Family Oriented,0.02192074218,0.0463,Shared,50,1.3,0.08,2025-08,2,Paid Search
824,2025-04-26 02:29:00 UTC,Tablet,USA,55+,Male,A3278,Text,Health,Young Adults,0.09550628,0.063,Liked,34,0.52,1.16,2025-04,2,Paid Search
760,2025-07-18 02:02:00 UTC,Tablet,Canada,25-34,Female,A5505,Text,Automotive,Fitness Lovers,0.1331039435,0.1311,Commented,23,1.4,1.25,2025-07,2,Paid Search
751,2025-11-18 02:36:00 UTC,Tablet,UK,35-44,Female,A6797,Text,Electronics,Family Oriented,0.1497642047,0.1255,Commented,55,0.64,2.94,2025-11,2,Paid Search
986,2025-03-14 02:04:00 UTC,Desktop,UK,25-34,Male,A4114,Text,Fashion,Fitness Lovers,0.085187751,0.0581,Commented,15,1.21,0.41,2025-03,2,Paid Search
772,2025-02-13 02:07:00 UTC,Mobile,Germany,18-24,Male,A5724,Text,Automotive,Young Adults,0.087317807,0.0616,Ignored,40,0.21,2.56,2025-02,2,Paid Search
731,2025-11-20 02:41:00 UTC,Tablet,USA,35-44,Male,A2151,Text,Electronics,Travel Lovers,0.04386039701,0.0611,Liked,17,1.17,0.23,2025-11,2,Paid Search
799,2025-08-29 02:05:00 UTC,Desktop,USA,45-54,Female,A7922,Video,Health,Family Oriented,0.06773357,0.0446,Shared,27,1.46,0.21,2025-08,2,Paid Social
959,2025-06-03 02:29:00 UTC,Mobile,UK,45-54,Male,A6896,Video,Fashion,Young Adults,0.03799795998,0.0872,Ignored,46,1.11,0.3,2025-06,2,Paid Social
851,2025-09-18 02:16:00 UTC,Mobile,India,55+,Female,A3784,Video,Electronics,Travel Lovers,0.045555418,0.096,Shared,34,1.26,0.35,2025-09,2,Paid Social
773,2025-09-12 02:47:00 UTC,Mobile,Canada,55+,Male,A8773,Video,Travel,Travel Lovers,0.06117953405,0.1219,Commented,33,1.34,0.56,2025-09,2,Paid Social
973,2025-04-21 02:10:00 UTC,Mobile,India,25-34,Female,A4241,Video,Electronics,Tech Enthusiasts,0.1389295051,0.1203,Commented,41,1.42,1.18,2025-04,2,Paid Social
937,2025-03-05 02:55:00 UTC,Mobile,India,55+,Male,A9326,Video,Fashion,Fitness Lovers,0.061433606,0.0691,Commented,12,0.41,1.04,2025-03,2,Paid Social
927,2025-08-28 02:14:00 UTC,Tablet,UK,35-44,Female,A5619,Video,Health,Family Oriented,0.1428131007,0.0453,Liked,13,0.88,0.74,2025-08,2,Paid Social
625,2025-10-25 02:38:00 UTC,Tablet,USA,25-34,Female,A2910,Video,Automotive,Travel Lovers,0.01138117529,0.0378,Liked,60,0.31,0.14,2025-10,2,Paid Social
430,2025-01-09 02:23:00 UTC,Tablet,UK,45-54,Male,A9657,Video,Health,Fitness Lovers,0.077736344,0.0771,Liked,45,1.43,0.42,2025-01,2,Paid Social
144,2025-09-18 03:16:00 UTC,Desktop,USA,35-44,Female,A7937,Image,Automotive,Young Adults,0.068925448,0.1237,Shared,45,0.49,1.74,2025-09,3,Programmatic Display
708,2025-03-01 03:01:00 UTC,Mobile,Germany,45-54,Male,A4415,Image,Travel,Young Adults,0.1162093321,0.1008,Liked,44,0.98,1.2,2025-03,3,Programmatic Display
234,2025-05-19 03:49:00 UTC,Desktop,UK,45-54,Male,A8728,Image,Fashion,Tech Enthusiasts,0.05382271165,0.0696,Ignored,19,0.24,1.56,2025-05,3,Programmatic Display
549,2025-05-31 03:31:00 UTC,Desktop,India,35-44,Male,A6837,Image,Travel,Travel Lovers,0.022163568,0.0933,Shared,59,1.44,0.14,2025-05,3,Programmatic Display
479,2025-09-15 03:06:00 UTC,Desktop,India,55+,Male,A4981,Image,Automotive,Travel Lovers,0.1465800115,0.0732,Ignored,56,1.35,0.79,2025-09,3,Programmatic Display
124,2025-05-20 03:21:00 UTC,Mobile,UK,35-44,Male,A1430,Image,Travel,Tech Enthusiasts,0.05077965,0.0785,Ignored,24,0.39,1.02,2025-05,3,Programmatic Display
348,2025-05-24 03:25:00 UTC,Mobile,UK,25-34,Female,A6280,Image,Fashion,Tech Enthusiasts,0.145695224,0.0445,Shared,45,0.82,0.79,2025-05,3,Programmatic Display
560,2025-06-06 03:21:00 UTC,Tablet,USA,45-54,Male,A9597,Image,Health,Family Oriented,0.1252766084,0.0795,Ignored,54,0.8,1.24,2025-06,3,Programmatic Display
357,2025-03-17 03:45:00 UTC,Mobile,USA,55+,Male,A4638,Image,Fashion,Fitness Lovers,0.1064866788,0.1046,Commented,34,0.83,1.34,2025-03,3,Programmatic Display
649,2025-01-08 03:24:00 UTC,Tablet,USA,45-54,Female,A2970,Image,Fashion,Tech Enthusiasts,0.1068708453,0.0804,Commented,31,0.37,2.32,2025-01,3,Programmatic Display
926,2025-12-21 03:48:00 UTC,Desktop,Germany,35-44,Male,A4093,Image,Electronics,Family Oriented,0.05642481303,0.0302,Liked,14,1.39,0.12,2025-12,3,Programmatic Display
748,2025-01-13 03:12:00 UTC,Desktop,India,18-24,Male,A5526,Image,Fashion,Family Oriented,0.049105533,0.1421,Ignored,40,0.79,0.88,2025-01,3,Programmatic Display
430,2025-12-10 03:33:00 UTC,Mobile,Germany,25-34,Female,A4802,Image,Fashion,Family Oriented,0.1366161216,0.0566,Liked,29,1.38,0.56,2025-12,3,Programmatic Display
204,2025-07-11 03:54:00 UTC,Tablet,UK,25-34,Female,A3233,Image,Fashion,Fitness Lovers,0.1477124313,0.1066,Liked,37,0.91,1.73,2025-07,3,Programmatic Display
637,2025-03-02 03:03:00 UTC,Tablet,USA,45-54,Female,A2771,Text,Travel,Family Oriented,0.018015205,0.0813,Ignored,18,0.2,0.73,2025-03,3,Paid Search
259,2025-03-06 03:28:00 UTC,Desktop,Canada,25-34,Female,A6068,Text,Automotive,Travel Lovers,0.05123065,0.1468,Shared,43,0.76,0.99,2025-03,3,Paid Search
535,2025-02-13 03:14:00 UTC,Mobile,Germany,18-24,Male,A6718,Text,Health,Family Oriented,0.1024766811,0.0133,Shared,45,1.49,0.09,2025-02,3,Paid Search
205,2025-04-03 03:36:00 UTC,Desktop,USA,45-54,Male,A7039,Text,Travel,Family Oriented,0.08542292,0.1151,Shared,34,1.03,0.95,2025-04,3,Paid Search
245,2025-06-28 03:43:00 UTC,Mobile,Canada,45-54,Male,A2250,Text,Automotive,Family Oriented,0.107970018,0.0691,Shared,29,1.35,0.55,2025-06,3,Paid Search
329,2025-02-20 03:31:00 UTC,Desktop,Canada,18-24,Male,A9133,Text,Electronics,Tech Enthusiasts,0.1196415348,0.0947,Commented,57,0.91,1.25,2025-02,3,Paid Search
367,2025-12-11 03:20:00 UTC,Mobile,UK,45-54,Female,A1728,Text,Electronics,Young Adults,0.046669203,0.0383,Commented,36,0.39,0.46,2025-12,3,Paid Search
613,2025-11-19 03:51:00 UTC,Desktop,Germany,55+,Female,A8279,Text,Health,Family Oriented,0.02996928741,0.1069,Commented,25,1.11,0.29,2025-11,3,Paid Search
655,2025-05-19 03:43:00 UTC,Mobile,UK,55+,Female,A9499,Text,Travel,Young Adults,0.084891118,0.1234,Shared,38,0.45,2.33,2025-05,3,Paid Search
844,2025-01-14 03:04:00 UTC,Mobile,India,55+,Female,A5249,Text,Fashion,Family Oriented,0.092464521,0.0663,Shared,53,0.6,1.02,2025-01,3,Paid Search
956,2025-03-13 03:17:00 UTC,Desktop,UK,35-44,Female,A7453,Text,Travel,Tech Enthusiasts,0.08884302,0.105,Shared,47,1.01,0.92,2025-03,3,Paid Search
362,2025-06-28 03:15:00 UTC,Tablet,UK,25-34,Male,A2620,Text,Travel,Young Adults,0.034951705,0.1421,Liked,29,0.36,1.38,2025-06,3,Paid Search
308,2025-06-24 03:34:00 UTC,Desktop,UK,45-54,Male,A1255,Video,Electronics,Young Adults,0.04047985816,0.0224,Ignored,17,1.41,0.06,2025-06,3,Paid Social
286,2025-07-27 03:49:00 UTC,Tablet,Germany,25-34,Female,A1144,Video,Automotive,Young Adults,0.108522376,0.1071,Shared,44,1.17,0.99,2025-07,3,Paid Social
439,2025-05-03 03:39:00 UTC,Mobile,UK,35-44,Female,A2031,Video,Automotive,Family Oriented,0.1083679641,0.067,Commented,11,0.22,3.3,2025-05,3,Paid Social
974,2025-02-18 03:43:00 UTC,Desktop,Germany,35-44,Female,A1693,Video,Electronics,Tech Enthusiasts,0.1140859981,0.0701,Shared,31,1.2,0.67,2025-02,3,Paid Social
238,2025-04-26 03:38:00 UTC,Tablet,Germany,45-54,Male,A6287,Video,Electronics,Travel Lovers,0.1416513161,0.086,Ignored,38,1.05,1.16,2025-04,3,Paid Social
410,2025-04-28 03:10:00 UTC,Mobile,Germany,35-44,Male,A7569,Video,Health,Tech Enthusiasts,0.1375024081,0.0435,Shared,46,0.15,3.99,2025-04,3,Paid Social
950,2025-06-24 03:46:00 UTC,Mobile,Canada,25-34,Female,A1543,Video,Travel,Family Oriented,0.075573746,0.1342,Commented,18,1.01,1,2025-06,3,Paid Social
155,2025-06-07 03:28:00 UTC,Mobile,USA,25-34,Male,A4207,Video,Health,Young Adults,0.02664149882,0.1481,Commented,55,0.45,0.88,2025-06,3,Paid Social
249,2025-01-30 03:04:00 UTC,Tablet,India,35-44,Male,A5746,Video,Health,Tech Enthusiasts,0.1117713721,0.122,Shared,20,0.59,2.31,2025-01,3,Paid Social
256,2025-11-19 03:30:00 UTC,Desktop,India,45-54,Female,A9487,Video,Automotive,Tech Enthusiasts,0.07083972,0.0478,Ignored,59,0.63,0.54,2025-11,3,Paid Social
827,2025-09-01 03:22:00 UTC,Desktop,India,55+,Female,A2597,Video,Electronics,Tech Enthusiasts,0.1457554951,0.0967,Shared,21,0.62,2.27,2025-09,3,Paid Social
390,2025-11-08 03:17:00 UTC,Desktop,Germany,55+,Male,A4853,Video,Automotive,Fitness Lovers,0.01708729863,0.0834,Ignored,46,0.47,0.3,2025-11,3,Paid Social
833,2025-09-26 03:37:00 UTC,Desktop,UK,55+,Female,A2810,Video,Travel,Fitness Lovers,0.1214117177,0.1393,Shared,41,0.17,9.95,2025-09,3,Paid Social
872,2025-11-21 03:26:00 UTC,Desktop,USA,55+,Male,A2470,Video,Fashion,Travel Lovers,0.072641409,0.0942,Commented,54,1.39,0.49,2025-11,3,Paid Social
837,2025-07-10 03:51:00 UTC,Desktop,Canada,18-24,Male,A7535,Video,Travel,Family Oriented,0.061890098,0.0433,Commented,53,0.61,0.44,2025-07,3,Paid Social
583,2025-10-14 03:53:00 UTC,Tablet,USA,55+,Female,A6749,Video,Fashion,Young Adults,0.1196648139,0.1054,Commented,45,0.93,1.36,2025-10,3,Paid Social
